nombre;lat;lon;temp_max;temp_min;cielo
Ananea;-14.676;-69.534;Sin datos;Sin datos;Sin datos
Ayaviri ;-14.86876667;-70.59161111;17.4;-7;despejado
Azangaro;-14.921;-69.87569444;17.2;-2.1;despejado
Cabanillas ;-15.63910833;-70.34660833;18.2;1.6;nubes dispersas
Crucero;-14.36419444;-70.02591667;14.7;-5.5;cubierto
Desaguadero;-16.56363889;-69.03666667;14.2;-5.4;despejado
Huancané;-15.20686111;-69.75830556;16.2;-3.6;nubes dispersas
Ichuña;-16.141;-70.543;19.8;-2.2;despejado
Ilave;-16.05994444;-69.64038889;15.6;1;despejado
Juli ;-16.20377778;-69.45991667;14.5;0.8;despejado
Juliaca;-15.44415;-70.20778333;17.8;-6;nubes dispersas
Lampa;-15.36108333;-70.37416667;18;-5.8;despejado
Laraqueri;-16.13361111;-70.05027778;16;-9;nubes dispersas
Macusani;-14.06675;-70.42205556;13.8;-2;cubierto
Mazo Cruz;-16.73888889;-69.71544444;17;-10.8;despejado
Moho;-15.38809722;-69.48419167;15.8;-1.4;despejado
Pisacoma;-16.90434722;-69.36952778;16.2;-9;despejado
Puno;-15.82625;-70.01208333;17.3;0.8;despejado
Putina;-14.91719444;-70.19047222;17.4;-4.5;nublado parcial
Acora;-15.99016667;-69.80961111;15.4;-1.8;nubes dispersas
San Gabán;-13.46087222;-70.40998611;26;14.5;cubierto
San Juan del Oro;-14.22528611;-69.16178333;Sin datos;Sin datos;Sin datos
Yunguyo;-16.30783333;-69.07472222;14.6;-1.2;nubes dispersas
